Guobiao Radical Index,Radical,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
70,戈,,,,,,,,,,,,,,,,,,,,,,,
71,比,,,,,,,,,,,,,,,,,,,,,,,
72,瓦,,,,,,,,,,,,,,,,,,,,,,,
73,止,,,,,,,,,,,,,,,,,,,,,,,
74,攴,,,,,,,,,,,,,,,,,,,,,,,
74.1,攵,,,,,,,,,,,,,,,,,,,,,,,
75,日曰,,,,,,,,,,,,,,,,,,,,,,,
75.1,⺜,,,,,,,,,,,,,,,,,,,,,,,
76,贝,,,,,,,,,,,,,,,,,,,,,,,
76.1,貝,,,,,,,,,,,,,,,,,,,,,,,
77,水,,,,,,,,,,,,,,,,,,,,,,,
77.1,氵,,,,,,,,,,,,,,,,,,,,,,,
77.2,氺,,,,,,,,,,,,,,,,,,,,,,,
78,见,,,,,,,,,,,,,,,,,,,,,,,
78.1,見,,,,,,,,,,,,,,,,,,,,,,,
79,牛,,,,,,,,,,,,,,,,,,,,,,,
79.1,牜,,,,,,,,,,,,,,,,,,,,,,,
80,手,,,,,,,,,,,,,,,,,,,,,,,
80.1,扌,,,,,,,,,,,,,,,,,,,,,,,
80.2,龵,,,,,,,,,,,,,,,,,,,,,,,
81,气,,,,,,,,,,,,,,,,,,,,,,,
82,毛,,,,,,,,,,,,,,,,,,,,,,,
83,长,长,,,,,,,,,,,,,,,,,,,,,,
83.1,镸,,,,,,,肆,,,,,,,,,,,,,,,,
83.2,長,長,,,,,,,,,,,,,,,,,,,,,,
84,片,,,,,,,,,,,,,,,,,,,,,,,
85,斤,,,,,,,,,,,,,,,,,,,,,,,
86,爪,,,,,,,,,,,,,,,,,,,,,,,
86.1,爫,,,,,,,,,,,,,,,,,,,,,,,
87,父,,,,,,,,,,,,,,,,,,,,,,,
88,月,,,,,,,,,,,,,,,,,,,,,,,
88.1,⺝,,,,,,,,,,,,,,,,,,,,,,,
89,氏,,,,,,,,,,,,,,,,,,,,,,,
90,欠,,,,,,,,,,,,,,,,,,,,,,,
91,风,,,,,,,,,,,,,,,,,,,,,,,
91.1,風,,,,,,,,,,,,,,,,,,,,,,,
92,殳,,,,,,,,,,,,,,,,,,,,,,,
93,文,,,,,,,,,,,,,,,,,,,,,,,
94,方,,,,,,,,,,,,,,,,,,,,,,,
95,火,,,,,,,,,,,,,,,,,,,,,,,
95.1,灬,,,,,,,,,,,,,,,,,,,,,,,
96,斗,,,,,,,,,,,,,,,,,,,,,,,
97,户,,,,,,,,,,,,,,,,,,,,,,,
98,心,,,,,,,,,,,,,,,,,,,,,,,
98.1,忄,,,,,,,,,,,,,,,,,,,,,,,
98.2,⺗,,,,,,,,,,,,,,,,,,,,,,,
99,毋,,,,,,,,,,,,,,,,,,,,,,,
99.1,母,,,,,,,,,,,,,,,,,,,,,,,
100,示,,,,,,,,,,,,,,,,,,,,,,,
100.1,礻,,,,,,,,,,,,,,,,,,,,,,,
101,甘,,,,,,,,,,,,,,,,,,,,,,,
102,石,,,,,,,,,,,,,,,,,,,,,,,
103,龙,,,,,,,,,,,,,,,,,,,,,,,
103.1,龍,,,,,,,,,,,,,,,,,,,,,,,
104,业,,,,,,,,,,,,,,,,,,,,,,,
105,目,,,,,,,,,,,,,,,,,,,,,,,
106,田,,,,,,,,,,,,,,,,,,,,,,,
107,罒,,,,,,,,,,,,,,,,,,,,,,,
108,皿,,,,,,,,,,,,,,,,,,,,,,,
109,生,,,,,,,,,,,,,,,,,,,,,,,
110,矢,,,,,,,,,,,,,,,,,,,,,,,
111,禾,,,,,,,,,,,,,,,,,,,,,,,
112,白,,,,,,,,,,,,,,,,,,,,,,,
113,瓜,,,,,,,,,,,,,,,,,,,,,,,
114,鸟,,,,,,,,,,,,,,,,,,,,,,,
114.1,鳥,,,,,,,,,,,,,,,,,,,,,,,
115,疒,,,,,,,,,,,,,,,,,,,,,,,
116,立,,,,,,,,,,,,,,,,,,,,,,,
117,穴,,,,,,,,,,,,,,,,,,,,,,,
118,疋,,,,,,,,,,,,,,,,,,,,,,,
118.1,⺪,,,,,,,,,,,,,,,,,,,,,,,
119,皮,,,,,,,,,,,,,,,,,,,,,,,
120,癶,,,,,,,,,,,,,,,,,,,,,,,
121,矛,,,,,,,,,,,,,,,,,,,,,,,
122,耒,,,,,,,,,,,,,,,,,,,,,,,
123,老,,,,,,,,,,,,,,,,,,,,,,,
123.1,耂,,,,,,,,,,,,,,,,,,,,,,,
124,耳,,,,,,,,,,,,,,,,,,,,,,,
125,臣,,,,,,,,,,,,,,,,,,,,,,,
126,覀西,,,,,,,,,,,,,,,,,,,,,,,
127,而,,,,,,,,,,,,,,,,,,,,,,,
128,页,,,,,,,,,,,,,,,,,,,,,,,
128.1,頁,,,,,,,,,,,,,,,,,,,,,,,
129,至,,,,,,,,,,,,,,,,,,,,,,,
130,虍,,,,,,,,,,,,,,,,,,,,,,,
130.1,虎,,,,,,,,,,,,,,,,,,,,,,,
131,虫,,,,,,,,,,,,,,,,,,,,,,,
132,肉,,,,,,,,,,,,,,,,,,,,,,,
133,缶,,,,,,,,,,,,,,,,,,,,,,,
134,舌,,,,,,,,,,,,,,,,,,,,,,,
135,竹,,,,,,,,,,,,,,,,,,,,,,,
135.1,𥫗,,,,,,,,,,,,,,,,,,,,,,,
136,臼,,,,,,,,,,,,,,,,,,,,,,,
137,自,,,,,,,,,,,,,,,,,,,,,,,
138,血,,,,,,,,,,,,,,,,,,,,,,,
139,舟,,,,,,,,,,,,,,,,,,,,,,,
140,色,,,,,,,,,,,,,,,,,,,,,,,
141,齐,,,,,,,,,,,,,,,,,,,,,,,
141.1,齊,,,,,,,,,,,,,,,,,,,,,,,
142,衣,,,,,,,,,,,,,,,,,,,,,,,
142.1,衤,,,,,,,,,,,,,,,,,,,,,,,
143,羊,,,,,,,,,,,,,,,,,,,,,,,
143.1,⺶,,,,,,,,,,,,,,,,,,,,,,,
143.2,⺷,,,,,,,,,,,,,,,,,,,,,,,
144,米,,,,,,,,,,,,,,,,,,,,,,,
145,聿,,,,,,,,,,,,,,,,,,,,,,,
145.1,肀,,,,,肃,,,,,肅,,,,,,,,,,,,,
145.2,⺻,,,,,,,,,,盡,,,,,,,,,,,,,
